FEATURE,IMPORTANCE
numerical__X314,0.2989409062305616
numerical__X261,0.16120568325650608
numerical__X127,0.11839066454139725
numerical__X315,0.05451479993080908
numerical__X263,0.04715897421781351
numerical__X118,0.04078371478998286
numerical__X119,0.036231116976187284
numerical__X279,0.025872508080082804
numerical__X29,0.022586441059384132
numerical__X232,0.02100870905980114
