VEHICLE_ID,MODEL_YEAR,UK_MODEL,NHTSA_MODEL,VEHICLE_DESCRIPTION,OVERALL_RATING,FRONT_CRASH_RATING,SIDE_CRASH_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING
14036,2019," CLA Class",CLA-CLASS,2019 Mercedes-Benz CLA-Class 4 DR FWD,,,,,0,22,6,1,Standard,Optional,Optional
14062,2019," CLS Class",CLS-CLASS,2019 Mercedes-Benz CLS-Class 4 DR 4WD,,,,,0,20,14,0,Standard,Standard,Optional
14037,2019," CLS Class",CLS-CLASS,2019 Mercedes-Benz CLS-Class 4 DR RWD,,,,,0,20,14,0,Standard,Standard,Optional
15048,2019," E Class",E-CLASS,2019 Mercedes-Benz E-Class SW 4WD,5,5,5,5,0.097,54,21,0,Standard,Standard,Optional
15047,2019," E Class",E-CLASS,2019 Mercedes-Benz E-Class 4 DR 4WD,5,5,5,5,0.097,54,21,0,Standard,Standard,Optional
15044,2019," E Class",E-CLASS,2019 Mercedes-Benz E-Class SW RWD,5,5,5,5,0.097,54,21,0,Standard,Standard,Optional
15043,2019," E Class",E-CLASS,2019 Mercedes-Benz E-Class 4 DR RWD,5,5,5,5,0.097,54,21,0,Standard,Standard,Optional
14064,2019," E Class",E-CLASS,2019 Mercedes-Benz E-Class 2 DR 4WD,,,,,0,54,21,0,Standard,Standard,Optional
14039,2019," E Class",E-CLASS,2019 Mercedes-Benz E-Class 2 DR RWD,,,,,0,54,21,0,Standard,Standard,Optional
14040,2019," G Class",G-CLASS,2019 Mercedes-Benz G-Class SUV 4WD,,,,,0,6,13,0,Standard,Standard,No
14065,2019," GLA Class",GLA-CLASS,2019 Mercedes-Benz GLA-Class SUV 4WD,,,,,0,29,11,1,Standard,Optional,Optional
14041,2019," GLA Class",GLA-CLASS,2019 Mercedes-Benz GLA-Class SUV FWD,,,,,0,29,11,1,Standard,Optional,Optional
15049,2019," GLC Class",GLC-CLASS,2019 Mercedes-Benz GLC-Class SUV 4WD,5,5,5,4,0.186,68,14,2,Standard,Optional,Optional
15045,2019," GLC Class",GLC-CLASS,2019 Mercedes-Benz GLC-Class SUV RWD,5,5,5,4,0.184,68,14,2,Standard,Optional,Optional
14073,2019," GLE Class",GLE-CLASS,2019 Mercedes-Benz GLE-Class SUV RWD,,,,4,0.198,32,6,1,Standard,Optional,Optional
14072,2019," GLE Class",GLE-CLASS,2019 Mercedes-Benz GLE-Class SUV 4WD,,,,4,0.179,32,6,1,Standard,Optional,Optional
14045,2019," GLS Class",GLS-CLASS,2019 Mercedes-Benz GLS-Class SUV 4WD,,,,,0,27,3,0,Standard,Optional,Optional
14071,2019," S Class",S-CLASS,2019 Mercedes-Benz S-Class 2 DR 4WD,,,,,0,16,14,1,Standard,Standard,Optional
14068,2019," S Class",S-CLASS,2019 Mercedes-Benz S-Class 4 DR 4WD,,,,,0,16,14,1,Standard,Standard,Optional
14053,2019," S Class",S-CLASS,2019 Mercedes-Benz S-Class 2 DR RWD,,,,,0,16,14,1,Standard,Standard,Optional
14050,2019," S Class",S-CLASS,2019 Mercedes-Benz S-Class 4 DR RWD,,,,,0,16,14,1,Standard,Standard,Optional
14055,2019," SL CLASS",SL-CLASS,2019 Mercedes-Benz SL-Class C RWD,,,,,0,0,4,0,Standard,Optional,Optional
1759,2006," C Class",C-CLASS,2006 Mercedes-Benz C-Class 4-DR. w/SAB,,,,,0,183,7,1,Standard,No,No
1760,2006," E Class",E-CLASS,2006 Mercedes-Benz E-Class 4-DR. w/SAB,,,,,0,536,6,3,Standard,No,No
9682,2015," C Class",C-CLASS,2015 Mercedes-Benz C-Class 2 DR RWD,,,,,0,441,14,3,Standard,Optional,Optional
9681,2015," C Class",C-CLASS,2015 Mercedes-Benz C-Class 2 DR 4WD,,,,,0,441,14,3,Standard,Optional,Optional
9680,2015," C Class",C-CLASS,2015 Mercedes-Benz C-Class 4 DR RWD,4,4,5,4,0.11,441,14,3,Standard,Standard,Optional
9679,2015," C Class",C-CLASS,2015 Mercedes-Benz C-Class 4 DR 4WD,4,4,5,4,0.11,441,14,3,Standard,Standard,Optional
9684,2015," CL Class",CL-CLASS,2015 Mercedes-Benz Cl-Class 2 DR RWD,,,,,0,0,0,0,Standard,Standard,Optional
9683,2015," CL Class",CL-CLASS,2015 Mercedes-Benz Cl-Class 2 DR 4WD,,,,,0,0,0,0,Standard,Standard,Optional
9686,2015," CLA Class",CLA-CLASS,2015 Mercedes-Benz Cla-Class 4 DR FWD,,,,,0,157,7,2,Standard,Standard,Optional
9685,2015," CLA Class",CLA-CLASS,2015 Mercedes-Benz Cla-Class 4 DR 4WD,,,,,0,157,7,2,Standard,Optional,Optional
9688,2015," CLS Class",CLS-CLASS,2015 Mercedes-Benz Cls-Class 4 DR RWD,,,,,0,9,4,1,Standard,Standard,Optional
9687,2015," CLS Class",CLS-CLASS,2015 Mercedes-Benz Cls-Class 4 DR 4WD,,,,,0,9,4,1,Standard,Standard,Optional
9692,2015," E Class",E-CLASS,2015 Mercedes-Benz E-Class 2 DR RWD,,,,,0,57,10,2,Standard,Standard,Optional
9691,2015," E Class",E-CLASS,2015 Mercedes-Benz E-Class 2 DR 4WD,,,,,0,57,10,2,Standard,Standard,Optional
9227,2015," E Class",E-CLASS,2015 Mercedes-Benz E-CLASS SW 4WD,4,4,5,5,0.099,57,10,2,Standard,Standard,Optional
9226,2015," E Class",E-CLASS,2015 Mercedes-Benz E-CLASS SW RWD,4,4,5,5,0.099,57,10,2,Standard,Standard,Optional
9225,2015," E Class",E-CLASS,2015 Mercedes-Benz E-Class 4 DR 4WD,4,4,5,5,0.099,57,10,2,Standard,Standard,Optional
9224,2015," E Class",E-CLASS,2015 Mercedes-Benz E-Class 4 DR RWD,4,4,5,5,0.099,57,10,2,Standard,Standard,Optional
9693,2015," G Class",G-CLASS,2015 Mercedes-Benz G-Class SUV AWD,,,,,0,3,2,0,Standard,No,No
9694,2015," GL Class",GL-CLASS,2015 Mercedes-Benz GL-Class SUV 4WD,,,,,0,34,3,0,Standard,Optional,Optional
9696,2015," GLA Class",GLA-CLASS,2015 Mercedes-Benz GLA-Class 4 DR FWD,,,,,0,100,5,2,Standard,Optional,Optional
9695,2015," GLA Class",GLA-CLASS,2015 Mercedes-Benz GLA-Class 4 DR 4WD,,,,,0,100,5,2,Standard,Optional,Optional
9700,2015," S Class",S-CLASS,2015 Mercedes-Benz S-Class 4 DR RWD,,,,,0,51,9,2,Standard,Standard,Optional
9699,2015," S Class",S-CLASS,2015 Mercedes-Benz S-Class 4 DR 4WD,,,,,0,51,9,2,Standard,Standard,Optional
9703,2015," SL CLASS",SL-CLASS,2015 Mercedes-Benz SL-Class C RWD,,,,,0,4,3,1,Standard,No,Optional
15091,2020," A Class",A-CLASS,2020 Mercedes-Benz A-Class 4 DR 4WD,,,,,0,21,10,0,Standard,No,Optional
15065,2020," A Class",A-CLASS,2020 Mercedes-Benz A-Class 4 DR FWD,,,,,0,21,10,0,Standard,No,Optional
15080,2020," C Class",C-CLASS,2020 Mercedes-Benz C-Class 2 DR 4WD,,,,,0,46,12,1,Standard,No,No
15079,2020," C Class",C-CLASS,2020 Mercedes-Benz C-Class 4 DR 4WD,,4,,4,0.11,46,12,1,Standard,No,No
15051,2020," C Class",C-CLASS,2020 Mercedes-Benz C-Class 2 DR RWD,,,,,0,46,12,1,Standard,No,No
15050,2020," C Class",C-CLASS,2020 Mercedes-Benz C-Class 4 DR RWD,,4,,4,0.11,46,12,1,Standard,No,No
15092,2020," CLA Class",CLA-CLASS,2020 Mercedes-Benz CLA-Class 4 DR 4WD,,,,,0,23,13,0,Standard,No,Optional
15066,2020," CLA Class",CLA-CLASS,2020 Mercedes-Benz CLA-Class 4 DR FWD,,,,,0,23,13,0,Standard,No,Optional
15086,2020," CLS Class",CLS-CLASS,2020 Mercedes-Benz CLS-Class 4 DR 4WD,,,,,0,6,8,0,Standard,No,No
15057,2020," CLS Class",CLS-CLASS,2020 Mercedes-Benz CLS-Class 4 DR RWD,,,,,0,0,1,0,Standard,No,No
15084,2020," E Class",E-CLASS,2020 Mercedes-Benz E-Class 2 DR 4WD,,,,,0,20,15,0,Standard,No,No
15082,2020," E Class",E-CLASS,2020 Mercedes-Benz E-Class 4 DR 4WD,5,5,5,5,0.097,20,15,0,Standard,No,No
15055,2020," E Class",E-CLASS,2020 Mercedes-Benz E-Class 2 DR RWD,,,,,0,20,15,0,Standard,No,No
15053,2020," E Class",E-CLASS,2020 Mercedes-Benz E-Class 4 DR RWD,5,5,5,5,0.097,20,15,0,Standard,No,No
15074,2020," G Class",G-CLASS,2020 Mercedes-Benz G-Class SUV 4WD,,,,,0,2,8,0,Standard,Standard,No
15093,2020," GLA Class",GLA-CLASS,2020 Mercedes-Benz GLA-Class SUV 4WD,,,,,0,9,5,1,Standard,No,Optional
15067,2020," GLA Class",GLA-CLASS,2020 Mercedes-Benz GLA-Class SUV FWD,,,,,0,9,5,1,Standard,No,Optional
15094,2020," GLB Class",GLB-CLASS,2020 Mercedes-Benz GLB-Class SUV 4WD,,,,,0,57,20,0,Standard,Standard,No
15068,2020," GLB Class",GLB-CLASS,2020 Mercedes-Benz GLB-Class SUV FWD,,,,,0,57,20,0,Standard,Standard,No
15095,2020," GLC Class",GLC-CLASS,2020 Mercedes-Benz GLC-Class SUV 4WD,,,5,4,0.186,78,20,2,Standard,Standard,No
15069,2020," GLC Class",GLC-CLASS,2020 Mercedes-Benz GLC-Class SUV RWD,,,5,4,0.184,78,20,2,Standard,Standard,No
15097,2020," GLE Class",GLE-CLASS,2020 Mercedes-Benz GLE-Class SUV 4WD,,,,,0,123,36,0,Standard,Standard,No
15073,2020," GLE Class",GLE-CLASS,2020 Mercedes-Benz GLE-Class SUV RWD,,,,,0,123,36,0,Standard,Standard,No
15075,2020," GLS Class",GLS-CLASS,2020 Mercedes-Benz GLS-Class SUV 4WD,,,,,0,38,24,0,Standard,Standard,No
15089,2020," S Class",S-CLASS,2020 Mercedes-Benz S-Class 2 DR 4WD,,,,,0,7,7,2,Standard,No,No
15087,2020," S Class",S-CLASS,2020 Mercedes-Benz S-Class 4 DR 4WD,,,,,0,7,7,2,Standard,No,No
15061,2020," S Class",S-CLASS,2020 Mercedes-Benz S-Class 2 DR RWD,,,,,0,7,7,2,Standard,No,No
15058,2020," S Class",S-CLASS,2020 Mercedes-Benz S-Class 4 DR RWD,,,,,0,7,7,2,Standard,No,No
15063,2020," SL CLASS",SL-CLASS,2020 Mercedes-Benz SL-Class C RWD,,,,,0,2,3,0,Standard,No,No
