VEHICLE_ID,MODEL_YEAR,UK_MODEL,NHTSA_MODEL,VEHICLE_DESCRIPTION,OVERALL_RATING,FRONT_CRASH_RATING,SIDE_CRASH_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING
10733,2016," CLA Class",CLA-CLASS,2016 Mercedes-Benz Cla-Class 4 DR 4WD,,,,,0,66,9,2,Standard,Optional,Optional
10780,2016," CLS Class",CLS-CLASS,2016 Mercedes-Benz Cls-Class 4 DR RWD,,,,,0,0,1,1,Standard,Optional,Optional
10779,2016," CLS Class",CLS-CLASS,2016 Mercedes-Benz Cls-Class 4 DR 4WD,,,,,0,0,1,1,Standard,Optional,Optional
10782,2016," E Class",E-CLASS,2016 Mercedes-Benz E-Class 2 DR 4WD,,,,,0,89,9,1,Standard,Optional,Optional
10781,2016," E Class",E-CLASS,2016 Mercedes-Benz E-Class 2 DR RWD,,,,,0,89,9,1,Standard,Optional,Optional
10210,2016," E Class",E-CLASS,2016 Mercedes-Benz E-CLASS SW RWD,4,4,5,5,0.099,89,9,1,Standard,Optional,Optional
10209,2016," E Class",E-CLASS,2016 Mercedes-Benz E-CLASS SW 4WD,4,4,5,5,0.099,89,9,1,Standard,Optional,Optional
10208,2016," E Class",E-CLASS,2016 Mercedes-Benz E-Class 4 DR RWD,4,4,5,5,0.099,89,9,1,Standard,Optional,Optional
10207,2016," E Class",E-CLASS,2016 Mercedes-Benz E-Class 4 DR 4WD,4,4,5,5,0.099,89,9,1,Standard,Optional,Optional
10785,2016," G Class",G-CLASS,2016 Mercedes-Benz G-Class SUV AWD,,,,,0,3,4,0,Standard,No,No
10793,2016," GL Class",GL-CLASS,2016 Mercedes-Benz GL-Class SUV 4WD,,,,,0,20,7,0,Standard,Optional,Optional
10790,2016," GLA Class",GLA-CLASS,2016 Mercedes-Benz GLA-Class 4 DR FWD,,,,,0,51,4,2,Standard,Optional,Optional
10789,2016," GLA Class",GLA-CLASS,2016 Mercedes-Benz GLA-Class 4 DR 4WD,,,,,0,51,4,2,Standard,Optional,Optional
10792,2016," GLC Class",GLC-CLASS,2016 Mercedes-Benz GLC-Class 4 DR RWD,,,,,0,139,12,2,Standard,Optional,Optional
10791,2016," GLC Class",GLC-CLASS,2016 Mercedes-Benz GLC-Class 4 DR 4WD,,,,,0,139,12,2,Standard,Optional,Optional
10212,2016," GLE Class",GLE-CLASS,2016 Mercedes-Benz GLE-Class SUV 4WD,,,,4,0.179,104,18,2,Standard,Optional,Optional
10211,2016," GLE Class",GLE-CLASS,2016 Mercedes-Benz GLE-Class SUV RWD,,,,4,0.198,104,18,2,Standard,Optional,Optional
10787,2016," S Class",S-CLASS,2016 Mercedes-Benz S-Class 4 DR RWD,,,,,0,29,7,2,Standard,Optional,Optional
10786,2016," S Class",S-CLASS,2016 Mercedes-Benz S-Class 4 DR 4WD,,,,,0,29,7,2,Standard,Optional,Optional
10801,2016," SL CLASS",SL-CLASS,2016 Mercedes-Benz SL-Class C RWD,,,,,0,1,1,1,Standard,Optional,Optional
1204,2004," C Class",C-CLASS,2004 Mercedes-Benz C-Class 4-DR. w/SAB,,,,,0,77,4,0,Standard,No,No
1212,2004," SLK",SLK,2004 Mercedes-Benz SLK w/SAB,,,,,0,7,1,1,Standard,No,No
6373,2012," B Class",B-CLASS,2012 Mercedes-Benz B-Class 4 DR RWD,,,,,0,0,0,0,Standard,No,No
6739,2012," C Class",C-CLASS,2012 Mercedes-Benz C-Class 4 DR AWD,,,,4,0.105,585,7,1,Standard,No,No
6363,2012," C Class",C-CLASS,2012 Mercedes-Benz C-Class 4 DR RWD,,,,4,0.105,585,7,1,Standard,No,No
6741,2012," CLS Class",CLS-CLASS,2012 Mercedes-Benz CLS-Class 4 DR AWD,,,,,0,24,3,1,Standard,Optional,Optional
6364,2012," CLS Class",CLS-CLASS,2012 Mercedes-Benz CLS-Class 4 DR RWD,,,,,0,24,3,1,Standard,Optional,Optional
6743,2012," E Class",E-CLASS,2012 Mercedes-Benz E-Class 4 DR AWD,,,,5,0.099,233,7,2,Standard,Optional,Optional
6742,2012," E Class",E-CLASS,2012 Mercedes-Benz E-Class 2 DR AWD,,,,,0,233,7,2,Standard,Optional,Optional
