MODEL_NAME,DATASET,MAE,RMSE,R2
Naive Baseline,TRAIN,10.076994780398403,12.727811175687718,0
Naive Baseline,TEST,10.142585197110138,12.47624635745077,-4.358194646236768e-05
Random Forest - Hand-Tuned,TRAIN,4.257069018659318,6.677212465186617,0.7247781285961401
Random Forest - Hand-Tuned,TEST,5.493044904423526,8.186719731098302,0.5694031098974687
Random Forest - Tuned,TRAIN,5.106082676343214,7.975853439693582,0.6073126757989338
Random Forest - Tuned,TEST,5.304625858420778,7.949246656569789,0.5940215424989906
