SOURCE_FILE,INGESTED_AT,MODEL_YEAR,NHTSA_MODEL,UK_MODEL,VEHICLE_ID,VEHICLE_DESCRIPTION,OVERALL_RATING,OVERALL_FRONT_CRASH_RATING,FRONT_CRASH_DRIVER_RATING,FRONT_CRASH_PASSENGER_RATING,OVERALL_SIDE_CRASH_RATING,SIDE_CRASH_DRIVER_RATING,SIDE_CRASH_PASSENGER_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,SIDE_POLE_CRASH_RATING,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,NHTSA_MODEL_YEAR,NHTSA_MAKE,NHTSA_MODEL_FROM_RATING
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8634,2014 Mercedes-Benz E-CLASS SW 4WD,4,4,4,4,5,5,5,5,0.099,3,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8633,2014 Mercedes-Benz E-CLASS SW RWD,4,4,4,4,5,5,5,5,0.099,3,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8628,2014 Mercedes-Benz E-CLASS 2 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8627,2014 Mercedes-Benz E-CLASS 2 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8337,2014 Mercedes-Benz E-Class 4 DR AWD,4,4,4,4,5,5,5,5,0.099,3,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,E-CLASS," E Class",8336,2014 Mercedes-Benz E-Class 4 DR RWD,4,4,4,4,5,5,5,5,0.099,3,Standard,Standard,Optional,303,9,2,2014,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,GL-CLASS," GL Class",8641,2014 Mercedes-Benz GL-CLASS SUV 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Standard,No,39,3,0,2014,MERCEDES-BENZ,GL-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,S-CLASS," S Class",8622,2014 Mercedes-Benz S-CLASS 4 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Standard,Optional,25,6,1,2014,MERCEDES-BENZ,S-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,S-CLASS," S Class",8621,2014 Mercedes-Benz S-CLASS 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Standard,Optional,25,6,1,2014,MERCEDES-BENZ,S-CLASS
nhtsa_safety_2014.json,2026-08-28 16:05:12.636,2014,SL-CLASS," SL CLASS",8626,2014 Mercedes-Benz SL-CLASS C RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,4,4,1,2014,MERCEDES-BENZ,SL-CLASS
nhtsa_safety_2002.json,2026-08-28 16:05:12.636,2002,C-CLASS," C Class",4416,2002 Mercedes-Benz C-Class w/SAB,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,190,3,0,2002,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2002.json,2026-08-28 16:05:12.636,2002,S-CLASS," S Class",4410,2002 Mercedes-Benz S-Class 4DR. w/SAB,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,133,4,1,2002,MERCEDES-BENZ,S-CLASS
nhtsa_safety_2002.json,2026-08-28 16:05:12.636,2002,SL-CLASS," SL CLASS",4642,2002 Mercedes-Benz SL-Class Convertible w/SAB,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,13,0,1,2002,MERCEDES-BENZ,SL-CLASS
nhtsa_safety_2002.json,2026-08-28 16:05:12.636,2002,SLK," SLK",4417,2002 Mercedes-Benz SLK w/SAB,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,53,2,1,2002,MERCEDES-BENZ,SLK
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,C-CLASS," C Class",705,2011 Mercedes-Benz C-Class 4 DR AWD,4,3,4,2,5,5,4,4,0.105,4,Standard,No,No,516,6,2,2011,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,C-CLASS," C Class",119,2011 Mercedes-Benz C-Class 4 DR RWD,4,3,4,2,5,5,4,4,0.105,4,Standard,No,No,516,6,2,2011,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,CLS-CLASS," CLS Class",121,2011 Mercedes-Benz CLS-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,7,3,1,2011,MERCEDES-BENZ,CLS-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,E-CLASS," E Class",525,2011 Mercedes-Benz E-Class 4 DR AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,0.099,Not Rated,Standard,No,No,296,9,2,2011,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,E-CLASS," E Class",524,2011 Mercedes-Benz E-Class 2 DR AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,296,9,2,2011,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,E-CLASS," E Class",124,2011 Mercedes-Benz E-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,0.099,Not Rated,Standard,No,No,296,9,2,2011,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,E-CLASS," E Class",123,2011 Mercedes-Benz E-Class 2 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,296,9,2,2011,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,R-CLASS," R Class",529,2011 Mercedes-Benz R-Class SUV AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,18,5,1,2011,MERCEDES-BENZ,R-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,R-CLASS," R Class",129,2011 Mercedes-Benz R-Class SUV RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,18,5,1,2011,MERCEDES-BENZ,R-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,S-CLASS," S Class",130,2011 Mercedes-Benz S-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,19,2,0,2011,MERCEDES-BENZ,S-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,SL-CLASS," SL CLASS",530,2011 Mercedes-Benz Sl-Class C AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,3,0,0,2011,MERCEDES-BENZ,SL-CLASS
nhtsa_safety_2011.json,2026-08-28 16:05:12.636,2011,SL-CLASS," SL CLASS",131,2011 Mercedes-Benz Sl-Class C RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,3,0,0,2011,MERCEDES-BENZ,SL-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,C-CLASS," C Class",10775,2016 Mercedes-Benz C-Class 4 DR RWD,5,4,5,4,5,5,5,4,0.11,5,Standard,Optional,Optional,315,14,3,2016,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,C-CLASS," C Class",10774,2016 Mercedes-Benz C-Class 4 DR 4WD,5,4,5,4,5,5,5,4,0.11,5,Standard,Optional,Optional,315,14,3,2016,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,CLA-CLASS," CLA Class",10733,2016 Mercedes-Benz Cla-Class 4 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,66,9,2,2016,MERCEDES-BENZ,CLA-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,CLS-CLASS," CLS Class",10780,2016 Mercedes-Benz Cls-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,0,1,1,2016,MERCEDES-BENZ,CLS-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,CLS-CLASS," CLS Class",10779,2016 Mercedes-Benz Cls-Class 4 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,0,1,1,2016,MERCEDES-BENZ,CLS-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,E-CLASS," E Class",10782,2016 Mercedes-Benz E-Class 2 DR 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,89,9,1,2016,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,E-CLASS," E Class",10781,2016 Mercedes-Benz E-Class 2 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,89,9,1,2016,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,E-CLASS," E Class",10210,2016 Mercedes-Benz E-CLASS SW RWD,4,4,4,4,5,5,5,5,0.099,3,Standard,Optional,Optional,89,9,1,2016,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,E-CLASS," E Class",10209,2016 Mercedes-Benz E-CLASS SW 4WD,4,4,4,4,5,5,5,5,0.099,3,Standard,Optional,Optional,89,9,1,2016,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,E-CLASS," E Class",10208,2016 Mercedes-Benz E-Class 4 DR RWD,4,4,4,4,5,5,5,5,0.099,3,Standard,Optional,Optional,89,9,1,2016,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,E-CLASS," E Class",10207,2016 Mercedes-Benz E-Class 4 DR 4WD,4,4,4,4,5,5,5,5,0.099,3,Standard,Optional,Optional,89,9,1,2016,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,G-CLASS," G Class",10785,2016 Mercedes-Benz G-Class SUV AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,3,4,0,2016,MERCEDES-BENZ,G-CLASS
nhtsa_safety_2016.json,2026-08-28 16:05:12.636,2016,GL-CLASS," GL Class",10793,2016 Mercedes-Benz GL-Class SUV 4WD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,20,7,0,2016,MERCEDES-BENZ,GL-CLASS
